Price,Close,EMA200,Upper_Buffer,Lower_Buffer,SMA200,SMA40
Ticker,^IXIC,,,,,
Date,,,,,,
2024-02-15,15906.17,13956.6,14375.3,13537.91,13895.04,15245.73
2024-02-16,15775.65,13974.7,14393.95,13555.46,13913.51,15265.04
2024-02-20,15630.78,13991.18,14410.92,13571.45,13931.54,15286.36
2024-02-21,15580.87,14007.0,14427.21,13586.79,13949.61,15301.79
2024-02-22,16041.62,14027.25,14448.06,13606.43,13968.64,15328.0
2024-02-23,15996.82,14046.84,14468.25,13625.44,13987.34,15351.06
2024-02-26,15976.25,14066.04,14488.02,13644.06,14006.32,15372.98
2024-02-27,16035.3,14085.64,14508.21,13663.07,14024.97,15396.49
2024-02-28,15947.74,14104.16,14527.29,13681.04,14043.07,15419.9
2024-02-29,16091.92,14123.94,14547.66,13700.22,14062.1,15453.05
2024-03-01,16274.94,14145.35,14569.71,13720.99,14081.65,15495.12
2024-03-04,16207.51,14165.87,14590.84,13740.89,14100.97,15537.55
2024-03-05,15939.59,14183.51,14609.02,13758.01,14118.17,15572.93
2024-03-06,16031.54,14201.9,14627.96,13775.85,14134.88,15602.63
2024-03-07,16273.38,14222.51,14649.19,13795.84,14152.96,15638.02
2024-03-08,16085.11,14241.05,14668.28,13813.82,14169.78,15665.91
2024-03-11,16019.27,14258.74,14686.5,13830.98,14187.07,15692.13
2024-03-12,16265.64,14278.71,14707.07,13850.35,14205.98,15724.46
2024-03-13,16177.77,14297.61,14726.53,13868.68,14223.38,15755.29
2024-03-14,16128.53,14315.82,14745.3,13886.35,14239.14,15787.11
2024-03-15,15973.17,14332.32,14762.29,13902.35,14253.92,15810.05
2024-03-18,16103.45,14349.94,14780.44,13919.44,14269.76,15829.86
2024-03-19,16166.79,14368.02,14799.06,13936.98,14285.09,15850.03
2024-03-20,16369.41,14387.93,14819.57,13956.29,14300.74,15873.61
2024-03-21,16401.84,14407.97,14840.21,13975.73,14316.6,15896.61
2024-03-22,16428.82,14428.08,14860.92,13995.24,14332.36,15919.57
2024-03-25,16384.47,14447.54,14880.97,14014.12,14348.76,15942.8
2024-03-26,16315.7,14466.13,14900.12,14032.15,14364.14,15959.99
2024-03-27,16399.52,14485.37,14919.93,14050.81,14379.85,15982.23
2024-03-28,16379.46,14504.22,14939.34,14069.09,14394.43,16012.62
2024-04-01,16396.83,14523.05,14958.74,14087.36,14408.55,16038.5
2024-04-02,16240.45,14540.14,14976.34,14103.93,14421.62,16053.78
2024-04-03,16277.46,14557.43,14994.15,14120.7,14434.09,16070.78
2024-04-04,16049.08,14572.27,15009.44,14135.1,14445.89,16081.78
2024-04-05,16248.52,14588.95,15026.61,14151.28,14458.8,16094.08
2024-04-08,16253.96,14605.51,15043.68,14167.35,14472.56,16105.58
2024-04-09,16306.64,14622.44,15061.11,14183.77,14485.94,16113.48
2024-04-10,16170.36,14637.84,15076.98,14198.71,14499.33,16119.18
2024-04-11,16442.2,14655.8,15095.47,14216.12,14514.86,16138.84
2024-04-12,16175.09,14670.91,15111.04,14230.79,14527.96,16146.74
2024-04-15,15885.02,14682.99,15123.48,14242.5,14539.42,16146.21
2024-04-16,15865.25,14694.76,15135.6,14253.92,14550.79,16148.45
2024-04-17,15683.37,14704.6,15145.73,14263.46,14560.27,16149.77
2024-04-18,15601.5,14713.52,15154.93,14272.11,14569.19,16150.28
2024-04-19,15282.01,14719.18,15160.75,14277.6,14576.64,16131.29
2024-04-22,15451.31,14726.46,15168.25,14284.67,14585.51,16117.65
2024-04-23,15696.64,14736.11,15178.2,14294.03,14595.69,16110.66
2024-04-24,15712.75,14745.83,15188.21,14303.46,14605.82,16102.6
2024-04-25,15611.76,14754.45,15197.08,14311.82,14615.08,16094.2
2024-04-26,15927.9,14766.12,15209.11,14323.14,14625.12,16090.1
2024-04-29,15983.08,14778.23,15221.58,14334.89,14634.34,16082.8
2024-04-30,15657.82,14786.99,15230.6,14343.38,14642.06,16069.06
2024-05-01,15605.48,14795.13,15238.98,14351.28,14648.87,16060.71
2024-05-02,15840.96,14805.54,15249.7,14361.37,14656.3,16055.94
2024-05-03,16156.33,14818.98,15263.55,14374.41,14665.3,16053.02
2024-05-06,16349.25,14834.2,15279.23,14389.18,14676.73,16059.62
2024-05-07,16332.56,14849.11,15294.59,14403.64,14688.22,16067.45
2024-05-08,16302.76,14863.58,15309.48,14417.67,14699.44,16068.38
2024-05-09,16346.26,14878.33,15324.68,14431.98,14710.45,16072.59
2024-05-10,16340.87,14892.88,15339.67,14446.1,14721.52,16077.9
